job_role,skills
Data Scientist,"python,sql,machine learning,statistics,data analysis,pandas,numpy,data visualization"
DevOps Engineer,"aws,docker,kubernetes,ci/cd,linux,automation,terraform,cloud,git"
Backend Developer,"java,python,sql,apis,rest,databases,microservices,git,data structures"
Frontend Developer,"javascript,html,css,react,web design,ui,responsive design,frontend development"
Machine Learning Engineer,"python,machine learning,tensorflow,pytorch,neural networks,deep learning,data structures,algorithms"
Cloud Architect,"aws,azure,cloud,networking,security,automation,terraform,kubernetes,cloud computing"
Full Stack Developer,"javascript,react,node.js,python,sql,apis,html,css,git"
Cybersecurity Analyst,"security,networking,linux,python,penetration testing,firewalls,encryption,risk analysis"
Database Administrator,"sql,databases,mysql,postgresql,indexing,backup,performance tuning,data structures"
Systems Administrator,"linux,networking,automation,bash,windows server,virtualization,monitoring,security"
Mobile App Developer,"java,kotlin,swift,android,ios,mobile development,apis,git,ui"
QA Automation Engineer,"python,selenium,test automation,ci/cd,java,quality assurance,git,debugging"
Data Engineer,"python,sql,etl,spark,data pipelines,cloud,aws,data structures,big data"
AI Research Engineer,"python,machine learning,deep learning,research,neural networks,mathematics,algorithms,tensorflow"
Site Reliability Engineer,"linux,kubernetes,automation,monitoring,ci/cd,cloud,scripting,networking,incident response"
Blockchain Developer,"solidity,blockchain,cryptography,smart contracts,javascript,git,web3,security"
Game Developer,"c++,unity,game design,3d graphics,algorithms,physics,git,c#"
Product Data Analyst,"sql,data analysis,data visualization,excel,statistics,python,dashboards,reporting"
Network Engineer,"networking,security,routing,switching,firewalls,linux,automation,monitoring"
Embedded Systems Engineer,"c,c++,embedded systems,microcontrollers,firmware,hardware,rtos,debugging"
